title,originalTitle,description,genre
"Jestem najlepsza. Ja, Tonya","I, Tonya","Tonya Harding pragnie zdobyć olimpijski medal i mimo przeciwności losu udowodnić światu, że jest najlepszą łyżwiarką figurową świata. Jej kariera staje pod znakiem zapytania za sprawą oskarżenia o napaść na koleżankę z reprezentacji, Nancy Kerrigan.",Biograficzny / Dramat / Sportowy
Don Jon,,"Podróż współczesnego, uzależnionego od pornografii Don Jona, który stara się za wszelką cenę zostać mniej samolubnym człowiekiem.",Dramat / Komedia
Ostatni Mohikanin,The Last of the Mohicans,"Rok 1757, w amerykańskich koloniach trwa wojna angielsko-francuska. Wychowany przez Mohikanów Nathaniel, nazywany Sokolim Okiem, spotyka córkę brytyjskiego dowódcy, Corę. ",Dramat historyczny
Zacznijmy od nowa,Begin Again,Przygnębiony producent muzyczny rozpoczyna współpracę z młodą piosenkarką.,Dramat / Komedia / Muzyczny
Faceci w czerni 3,Men in Black 3,"Boris Bestia ucieka z więzienia na Księżycu, cofa się w czasie i zabija agenta K. J wyrusza do przeszłości, aby uratować partnera.",Komedia / Sci-Fi
"Czarny kot, biały kot","Crna mačka, beli mačor","Rodzina drobnego kryminalisty ma problemy finansowe. Postanawia więc zwrócić się o pomoc do lokalnego gangstera, który chce wyswatać swoją siostrę z nastoletnim synem złodziejaszka. ",Komedia rom. / Muzyczny
Żelazna Dama,The Iron Lady,"Margaret Thatcher jest zmęczoną życiem kobietą, dręczoną marami przeszłości. Była premier Wielkiej Brytanii rozmawia z nieżyjącym mężem i wspomina błyskotliwą karierę polityczną.",Biograficzny / Dramat / Polityczny
Kung Fu Panda,,"Niezgrabna i otyła panda zostaje nieoczekiwanie wybrana do wypełnienia starożytnej przepowiedni. Czy zdąży opanować sztukę kung-fu, nim pojawi się groźny przeciwnik?",Animacja / Familijny / Komedia / Przygodowy
Epoka lodowcowa 3: Era dinozaurów,Ice Age: Dawn of the Dinosaurs,"Stado prehistorycznych przyjaciół wyrusza do zaginionego świata dinozaurów, by pomóc leniwcowi Sidowi.",Animacja / Komedia / Przygodowy
Jak zostałem gangsterem. Historia prawdziwa,,"Historia najniebezpieczniejszego gangstera w Polsce, dla którego władza, bycie ponad stan i pieniądze stanowią priorytet. ",Sensacyjny
Światło między oceanami,The Light Between Oceans,"Żyjący u wybrzeży zachodniej Australii latarnik i jego żona wychowują dziecko, które uratowali z dryfującej łodzi. Wkrótce spotykają jego matkę. ",Dramat
Jak stracić chłopaka w 10 dni,How to Lose a Guy in 10 Days,"Andie pisze artykuł i w ciągu 10 dni ma sprawić, aby nowo poznany facet ją rzucił. Wybór pada na Bena, który założył się z szefem, że jego kolejny związek przetrwa dłużej. ",Komedia rom.
Carte Blanche,,"Nauczyciel historii Kacper dowiaduje się, że traci wzrok. By zachować pracę i doprowadzić swoją klasę do matury, postanawia ukryć problemy przed otoczeniem.",Dramat obyczajowy
"W starym, dobrym stylu",Going in Style,"Trzej zdesperowani emeryci postanawiają napaść na bank, który pozbawił ich oszczędności.",Komedia kryminalna
Noc w muzeum,Night at the Museum,"Nowo zatrudniony strażnik w Muzeum Historii Naturalnej odkrywa, że starożytna klątwa przywraca każdej nocy eksponaty do życia.",Familijny / Fantasy / Komedia
Uczeń czarnoksiężnika,The Sorcerer's Apprentice,Nieśmiały nastolatek uczy się magii pod okiem doświadczonego czarodzieja. Wkrótce będzie musiał wykorzystać nowo nabytą wiedzę w starciu z siłami ciemności.,Fantasy / Przygodowy
Dziennik zakrapiany rumem,The Rum Diary,"Paul Kemp leci do Portoryko, gdzie podejmuje pracę jako lokalny dziennikarz. Tam zakochuje się w narzeczonej biznesmena, który chce z wyspy uczynić dochodowy interes.",Dramat
Starsza pani musi zniknąć,Duplex,"Alex i Nancy odnajdują mieszkanie swoich marzeń, ale życie uprzykrza im starsza pani mieszkająca piętro wyżej.",Czarna komedia
Dżentelmeni,The Gentlemen,"Handlarz marihuany postanawia sprzedać narkotykowe imperium i przejść na emeryturę. Pożegnanie z półświatkiem nie będzie jednak tak łatwe, jak mogło mu się wydawać.",Kryminał / Akcja
Ted 2,,"Ted chce mieć z Tami Lynn dziecko. Aby uzyskać zgodę na opiekę nad malcem, miś musi przekonać sąd, że jest istotą żyjącą. ",Komedia
Całkiem zabawna historia,It's Kind of a Funny Story,"Cierpiący na depresję nastolatek trafia na oddział psychiatryczny, gdzie otrzymuje szansę na nowy początek.",Dramat / Komedia
Ludzkie dzieci,Children of Men,"Ponura wizja przyszłości, w której ludzie utracili zdolność reprodukcji.",Dramat / Sci-Fi
Marzyciele,The Dreamers,"Rodzeństwo Isabelle i Theo pod nieobecność rodziców proponują amerykańskiemu studentowi, by z nimi zamieszkał.",Dramat
Indiana Jones i Królestwo Kryształowej Czaszki,Indiana Jones and the Kingdom of the Crystal Skull,Słynny archeolog i miłośnik przygód Indiana Jones oraz&nbsp;Mutt Williams poszukują legendarnego artefaktu.,Przygodowy
Twierdza,The Rock,"Generał Hummel zajmuje wyspę Alcatraz. Żąda wysokiego okupu, w przeciwnym razie zrzuci na San Francisco rakiety wypełnione śmiercionośnym gazem.",Sensacyjny
Coś,The Thing,"Grupa amerykańskich badaczy odnajduję na Antarktyce istotę pozaziemską i przekonuje się, że obcy organizm nie ma pokojowych zamiarów.",Horror / Sci-Fi
"Wszystko, co kocham",,"Wiosna 1981 roku w Polsce. W nadmorskim miasteczku 18-letni Janek, syn oficera marynarki wojennej, zakłada zespół punkrockowy. W tle historia miłosna i narodziny ""Solidarności"".",Dramat obyczajowy
Makbet,Macbeth,"Szkocki generał Makbet, za namową swojej ambitnej żony, postanawia użyć niegodziwych środków w celu zdobycia władzy i obalenia króla. ",Dramat
Chicago,,"Chicago, 1929&nbsp;rok. Roxie Hart, piosenkarka wodewilowa zamknięta za zabójstwo swojego kochanka, staje się obiektem podziwu oraz uwielbienia mediów.",Kryminał / Musical
Ukryte działania,Hidden Figures,Trzy Afroamerykanki pracujące dla NASA pomagają przy wysłaniu przez USA pierwszej misji załogowej na orbitę Ziemi. ,Biograficzny / Dramat
Kosmiczny mecz,Space Jam,"Bohaterowie kreskówek Looney Tunes z Królikiem Bugsem na czele porywają Michaela Jordana, by ten pomógł im wygrać ważny mecz koszykówki.",Komedia / Sci-Fi
Nienawiść,La haine,"W trakcie przesłuchania policja okrutnie obchodzi się z zatrzymanym arabskiego pochodzenia, skutkiem czego na ulicach Paryża dochodzi do walk pomiędzy młodzieżą ze środowisk imigranckich a stróżami prawa.",Dramat
Blues Brothers,The Blues Brothers,"Po wyjściu z więzienia Jake Blues organizuje powrót swojego starego zespołu muzycznego, by zebrać pieniądze na uratowanie sierocińca, w którym wychował się ze swoim bratem, Elwoodem. ",Komedia / Musical
Spider-Man 3,,"Kostium Spider-Mana łączy się z substancją z kosmosu i zmienia kolor na czarny. Nowy strój daje Parkerowi olbrzymią siłę, ale też odkrywa mroczną stronę jego osobowości.",Akcja / Sci-Fi
Blair Witch Project,The Blair Witch Project,Trójka studentów wyrusza z kamerą w głąb lasu w poszukiwaniu śladów przerażającej wiedźmy.,Horror / Dokumentalizowany
Kapitan Marvel,Captain Marvel,Ziemska kobieta po kontakcie z obcą rasą Kree otrzymuje nadludzkie moce.,Akcja / Sci-Fi
Annie Hall,,"Historia burzliwego związku Alvy'ego Singera, błyskotliwego nowojorskiego komika, z piosenkarką Annie Hall.",Komedia obycz.
Disaster Artist,The Disaster Artist,"Historia spotkania i wczesnej przyjaźni Tommy'ego Wiseau oraz Grega Sestero - aktorów kultowego ""The Room"", który został okrzyknięty najgorszym filmem świata.",Biograficzny / Dramat / Komedia
Anihilacja,Annihilation,"Biolożka wyrusza na tajemniczą wyprawę tam, gdzie prawo natury nie istnieje.",Thriller / Sci-Fi
Snowden,,"Historia byłego pracownika CIA i NSA Edwarda Snowdena, który ujawnił prasie ściśle tajne dokumenty, doprowadzając do największego przecieku zastrzeżonych informacji w historii USA. ",Biograficzny / Sensacyjny / Thriller
Pani Doubtfire,Mrs. Doubtfire,"Daniel Hillard zatrudnia się jako gosposia swojej byłej żony, by spędzać więcej czasu z dziećmi. Nikt nie wie, kim jest naprawdę, bo pracuje w przebraniu jako pani Doubtfire.",Dramat / Komedia
"Millennium: Mężczyźni, którzy nienawidzą kobiet",Män som hatar kvinnor,"Doświadczony dziennikarz śledczy i młoda hakerka starają się rozwikłać zagadkę zaginięcia 16-letniej dziewczyny, do którego doszło czterdzieści lat wcześniej. ",Kryminał / Thriller
Pacific Rim,,Świat nie umie obronić się przed morskimi potworami z&nbsp;innego wymiaru. Ostatnią nadzieją naszej planety stają się wydalony ze&nbsp;służby pilot i&nbsp;niedoszkolona nowicjuszka.,Akcja / Sci-Fi
Tajne przez poufne,Burn After Reading,"Pracownica siłowni znajduje płytę CD należącą do byłego agenta CIA. Myśląc, że zawiera tajne dokumenty, postanawia się na nich wzbogacić.",Komedia kryminalna
Księgowy,The Accountant,"Gdy Christian zaczyna współpracować z firmą zajmującą się robotyką, odkrywa prawdziwy obraz sytuacji finansowej organizacji.&nbsp;",Dramat / Sensacyjny
Grease,,"Sandy i Danny zakochują się podczas wakacji. Wkrótce odkrywają, że trafili do tej samej szkoły, przez co ich letnia miłość zostaje wystawiona na próbę.",Musical / Romans
Hitch: Najlepszy doradca przeciętnego faceta,Hitch,"Alex Hitchens pomaga nieśmiałym mężczyznom podrywać piękne dziewczyny. Jego umiejętności zostają wystawione na próbę, gdy sam się zakochuje.",Komedia rom.
Pokot,,"W Sudetach dochodzi do serii morderstw, których ofiarami są myśliwi. Wobec bezradności policji śledztwo rozpoczyna emerytowana inżynierka.",Dramat / Kryminał
Tylko Ciebie chcę,Tengo ganas de ti,"Hache powraca z Londynu. Podczas nieobecności chłopaka zmieniło się wszystko, oprócz jego miłości do Babi.&nbsp;",Melodramat
Listy do M. 2,,Po czterech latach ci sami bohaterowie borykają się z kolejnymi problemami. ,Komedia rom. / Świąteczny
Zabójcza broń,Lethal Weapon,"Dwóch detektywów, szalony Martin Riggs i doświadczony Roger Murtaugh, zostaje partnerami. W pierwszej wspólnej sprawie badają okoliczności tajemniczego samobójstwa młodej kobiety. ",Komedia kryminalna
Jak ukraść Księżyc,Despicable Me,Życie Gru owładniętego żądzą kradzieży Księżyca zmienią trzy urocze sierotki.,Animacja / Familijny / Komedia
Wierny ogrodnik,The Constant Gardener,"Żona Justina, która chciała zdemaskować przestępstwa koncernu farmaceutycznego w Afryce, zostaje zamordowana. Mężczyzna chce ją pomścić. ",Melodramat / Thriller
Stalker,,"Stalker wraz z dwoma klientami podróżuje przez Zonę do tajemniczej komnaty, gdzie ponoć spełniają się marzenia. ",Sci-Fi / Dramat obyczajowy
Wróg numer jeden,Zero Dark Thirty,"Dwa lata po zamachach z 11 września młoda agentka CIA, Maya, dołącza do zespołu, który tropi Osamę bin Ladena. Z upływem czasu polowanie na najsłynniejszego terrorystę świata staje się jej obsesją. ",Thriller / Szpiegowski
Nimfomanka - Część I,Nymphomaniac,"Nimfomanka opowiada o swoich erotycznych doznaniach człowiekowi, który ją uratował. ",Dramat / Erotyczny
Thelma i Louise,Thelma &amp; Louise,"Dwie przyjaciółki udają się na weekend w góry. Nieszczęśliwy wypadek sprawia, że podejmują ucieczkę przed ścigającym je detektywem. ",Dramat
Nie otwieraj oczu,Bird Box,"W obliczu nieznanej, śmiercionośnej siły matka z małymi dziećmi desperacko walczy o przetrwanie.",Thriller / Sci-Fi
Taxi,,"Taksówkarz lubiący szybką jazdę i pechowy funkcjonariusz łączą siły, by złapać niemiecki gang złodziei. Bandyci zuchwale rabują kolejne banki, ośmieszając przy tym miejscową policję. ",Komedia / Akcja
Kobiety pragną bardziej,He's Just Not That Into You,"Film opowiada o kilku bohaterach, których losy się przeplatają. Tematem przewodnim są trudności w porozumieniu i interpretowaniu zachowania bliskich.",Dramat / Komedia / Romans
Iniemamocni,The Incredibles,"Dawni superbohaterowie, Bob Parr i jego żona Helen, wychowują troje dzieci i wiodą życie zwykłych obywateli. Wkrótce Parr dostanie tajne zlecenie, w którym pomoże mu cała rodzina.",Animacja / Familijny / Komedia / Akcja
Dzikość serca,Wild at Heart,"Młodzi kochankowie, Sailor i Lula, uciekają przed bandą zbirów, których matka dziewczyny wynajęła do zabicia jej towarzysza.",Kryminał / Romans
Death Race: Wyścig śmierci,Death Race,"Były kierowca rajdowy odsiaduje wyrok w więzieniu, którego naczelniczka organizuje krwawe wyścigi samochodowe. ",Akcja / Sci-Fi
Frost/Nixon,,"Kronika medialnego starcia Davida Frosta i Richarda Nixona. Pierwszy chce wyrwać się z kręgu miałkiej telewizyjnej rozrywki, drugi ma nadzieję powrócić na polityczny szczyt. ",Dramat
Szczęściarz,The Lucky One,"Żołnierz postanawia odnaleźć dziewczynę, której zdjęcie uratowało mu życie. ",Melodramat
Dla ciebie wszystko,The Best of Me,Na pogrzebie przyjaciela dochodzi do spotkania byłych kochanków. Dawne uczucia i związane z nimi konflikty powracają. ,Melodramat
Gothika,,"Młoda pani psycholog pewnego razu budzi się jako pacjentka własnego szpitala. Musi udowodnić wszystkim, że została niesłusznie oskarżona o morderstwo.",Horror / Psychologiczny
Wstrząs,Concussion,Doktor Bennet Omalu znajduje dowody na powiązanie mikrowstrząsów i urazów głowy sportowców z ich późniejszymi samobójstwami. ,Dramat
Hotel Transylwania,Hotel Transylvania,Hrabia Drakula i jego 118-letnia córka prowadzą hotel w Transylwanii. Przyjaźń dziewczynki z ludzkim chłopcem wpędza rodzinę w kłopoty.,Animacja / Familijny / Komedia
Speed: Niebezpieczna prędkość,Speed,"Terrorysta podkłada pod autobus bombę, która eksploduje, gdy pojazd zwolni poniżej 50 mil na godzinę. Niespodziewanie do jego wnętrza dostaje się policjant Jack Traven. ",Sensacyjny
W sieci kłamstw,Body of Lies,Agent CIA Roger Ferris tropi niebezpiecznego terrorystę. Jego przełożony Ed Hoffman kontroluje każdy etap operacji. ,Sensacyjny
Jackie Brown,,"Stewardessa przyłapana na nielegalnym przewożeniu pieniędzy z Meksyku do Los Angeles rozpoczyna grę między agentami FBI a handlarzem broni, dla którego pracowała.",Kryminał / Thriller
Piknik pod Wiszącą Skałą,Picnic at Hanging Rock,"Australia, 1900 r., dzień św. Walentego. Podczas pikniku pod Wiszącą Skałą, lokalną atrakcją, kilka uczennic oraz nauczycielka giną w tajemniczych okolicznościach.",Dramat
Carol,,"Nowy Jork, lata 50. Marząca o lepszym życiu pracownica sklepu zakochuje się w starszej i zamężnej kobiecie.",Melodramat
Omen,The Omen,Amerykański dyplomata adoptuje w tajemnicy przed żoną małego chłopca. Wkrótce mężczyzna odkrywa pochodzenie dziecka. ,Horror
Monster,,"Historia amerykańskiej prostytutki, która po dokonaniu serii morderstw na mężczyznach otrzymuje wyrok śmierci.",Biograficzny / Dramat
Dracula: Historia nieznana,Dracula Untold,W obliczu zagrożenia królestwa i rodziny Wład Tepeš zawiera umowę z siłami ciemności.,Fantasy / Horror
Brooklyn,,Młoda irlandzka imigrantka Eilis Lacey w latach 50. udaje się do Nowego Jorku.,Melodramat
Czwarta władza,The Post,Działania prezydenta USA doprowadzają do konfliktu pomiędzy dziennikarzami a rządem.,Dramat / Polityczny
Drzewo życia,The Tree of Life,"Mimo skomplikowanych relacji z ojcem Jack ma szczęśliwe dzieciństwo. Gdy wkracza w dorosłość, staje się zagubiony i wyobcowany. ",Dramat
Angielska robota,The Bank Job,Film oparty na prawdziwych wydarzeniach przedstawiających kulisy legendarnego napadu na londyński bank przy Baker Street z 1971 roku.,Kryminał / Sensacyjny
Prosta historia,The Straight Story,"Staruszek Alvin Straight podróżuje z Iowa do Wisconsin na małym traktorze, by u celu podróży pojednać się z chorym bratem.",Dramat obyczajowy
Niesamowity Spider-Man 2,The Amazing Spider-Man 2,"Spider-Man&nbsp;staje w szranki z&nbsp;Electro. Do miasta powraca także Harry Osborn, dzięki któremu Peter odkrywa, że wszystkich złoczyńców łączy ze sobą OsCorp.",Akcja / Sci-Fi
Pamięć absolutna,Total Recall,"W niedalekiej przyszłości pewien pracownik fabryki odkrywa, że w istocie jest tajnym szpiegiem pracującym dla jednego z mocarstw walczących o światową dominację. ",Thriller / Akcja / Sci-Fi
Player One,Ready Player One,"W 2045 roku ludzie znajdują ukojenie w wirtualnej rzeczywistości. Jej twórca przed śmiercią postanawia cały majątek przekazać pierwszej osobie, która znajdzie ukryty w niej cyfrowy ""easter egg"". ",Przygodowy / Akcja / Sci-Fi
Małe kobietki,Little Women,Jo March pracuje jako nauczycielka w Nowym Jorku. Kobieta wspomina przeszłość swoją i sióstr.,Melodramat
Madagaskar 3,Madagascar 3: Europe's Most Wanted," Lew, hipopotam, zebra i żyrafa starają się wrócić do Nowego Jorku przemierzając Europę w przebraniu cyrkowców.",Animacja / Familijny / Komedia / Przygodowy
Spadkobiercy,The Descendants,"Matt King, zapracowany prawnik mieszkający na Hawajach, po wypadku żony musi zająć się wychowaniem swoich córek. ",Dramat
